Sender 2: waiting to receive ACKS from D2...
The time out time is 380.000000 , Current time: 1367722713
The time out time is 31.206684 , Current time: 1367722717
The time out time is 62.065219 , Current time: 1367722717
The time out time is 57.924248 , Current time: 1367722717
The time out time is 70.032055 , Current time: 1367722717
The time out time is 79.576888 , Current time: 1367722717
The time out time is 87.809081 , Current time: 1367722717
The time out time is 79.722878 , Current time: 1367722717
The time out time is 74.839545 , Current time: 1367722717
The time out time is 46.135990 , Current time: 1367722717
The time out time is 41.149760 , Current time: 1367722717
The time out time is 36.801910 , Current time: 1367722717
The time out time is 80.733536 , Current time: 1367722717
The time out time is 60.531266 , Current time: 1367722717
The time out time is 48.082552 , Current time: 1367722717
The time out time is 33.670605 , Current time: 1367722717
The time out time is 29.030147 , Current time: 1367722717
The time out time is 38.427849 , Current time: 1367722717
The time out time is 36.753251 , Current time: 1367722717
The time out time is 58.831599 , Current time: 1367722717
The time out time is 46.132060 , Current time: 1367722717
The time out time is 49.211035 , Current time: 1367722717
The time out time is 61.793761 , Current time: 1367722717
The time out time is 53.634816 , Current time: 1367722717
The time out time is 63.182001 , Current time: 1367722717
The time out time is 62.548412 , Current time: 1367722717
The time out time is 61.293717 , Current time: 1367722717
The time out time is 62.811756 , Current time: 1367722717
The time out time is 73.857730 , Current time: 1367722717
The time out time is 81.733781 , Current time: 1367722717
The time out time is 92.435864 , Current time: 1367722717
The time out time is 99.921768 , Current time: 1367722717
The time out time is 112.238292 , Current time: 1367722717
The time out time is 122.529304 , Current time: 1367722717
The time out time is 125.191043 , Current time: 1367722717
The time out time is 123.398850 , Current time: 1367722717
The time out time is 125.706099 , Current time: 1367722717
The time out time is 140.346073 , Current time: 1367722717
The time out time is 142.170212 , Current time: 1367722717
The time out time is 152.990515 , Current time: 1367722717
The time out time is 165.147374 , Current time: 1367722717
The time out time is 165.493062 , Current time: 1367722717
The time out time is 107.055293 , Current time: 1367722717
The time out time is 55.161577 , Current time: 1367722717
The time out time is 27.871363 , Current time: 1367722717
The time out time is 12.009212 , Current time: 1367722717
The time out time is 5368729.163724 , Current time: 1367722718
The time out time is 4831852.436109 , Current time: 1367722718
The time out time is 2264941.095924 , Current time: 1367722718
The time out time is 698366.709843 , Current time: 1367722718
The time out time is 191113.888194 , Current time: 1367722718
The time out time is 49855.248390 , Current time: 1367722718
The time out time is 12729.409140 , Current time: 1367722718
The time out time is 3219.176915 , Current time: 1367722718
The time out time is 813.616058 , Current time: 1367722718
The time out time is 208.069243 , Current time: 1367722718
The time out time is 70.694214 , Current time: 1367722718
The time out time is 46.476917 , Current time: 1367722718
The time out time is 54.969650 , Current time: 1367722718
The time out time is 44.004965 , Current time: 1367722718
The time out time is 31.565310 , Current time: 1367722718
The time out time is 24.024336 , Current time: 1367722718
The time out time is 24.491460 , Current time: 1367722718
The time out time is 26.808537 , Current time: 1367722718
The time out time is 43.131593 , Current time: 1367722718
The time out time is 33.274081 , Current time: 1367722718
The time out time is 35.254918 , Current time: 1367722718
The time out time is 24.149529 , Current time: 1367722718
The time out time is 12.548107 , Current time: 1367722718
The time out time is 19.919617 , Current time: 1367722718
The time out time is 20.483978 , Current time: 1367722718
The time out time is 41.934004 , Current time: 1367722718
The time out time is 31.772627 , Current time: 1367722718
The time out time is 52.541798 , Current time: 1367722718
The time out time is 42.460279 , Current time: 1367722718
The time out time is 35.655674 , Current time: 1367722718
The time out time is 24.012744 , Current time: 1367722718
The time out time is 32.234289 , Current time: 1367722718
The time out time is 39.118710 , Current time: 1367722718
The time out time is 46.912195 , Current time: 1367722718
The time out time is 55.744613 , Current time: 1367722718
The time out time is 55.594474 , Current time: 1367722718
The time out time is 49.074659 , Current time: 1367722718
The time out time is 63.415670 , Current time: 1367722718
The time out time is 65.184793 , Current time: 1367722718
The time out time is 66.868808 , Current time: 1367722718
The time out time is 78.757528 , Current time: 1367722718
The time out time is 90.225673 , Current time: 1367722718
The time out time is 60.373455 , Current time: 1367722718
The time out time is 32.539243 , Current time: 1367722718
The time out time is 20.284296 , Current time: 1367722718
The time out time is 12.496010 , Current time: 1367722718
The time out time is 22.145869 , Current time: 1367722718
The time out time is 21.539201 , Current time: 1367722718
The time out time is 42.916392 , Current time: 1367722718
The time out time is 29.639297 , Current time: 1367722718
The time out time is 20.398599 , Current time: 1367722718
The time out time is 13.285747 , Current time: 1367722718
The time out time is 12.219699 , Current time: 1367722718
The time out time is 16.417207 , Current time: 1367722718
The time out time is 12.555837 , Current time: 1367722718
The time out time is 10.320401 , Current time: 1367722718
The time out time is 23.540281 , Current time: 1367722718
The time out time is 16.442593 , Current time: 1367722718
The time out time is 14.399088 , Current time: 1367722718
The time out time is 49.323327 , Current time: 1367722718
The time out time is 41.421276 , Current time: 1367722718
The time out time is 39.585375 , Current time: 1367722718
The time out time is 39.143851 , Current time: 1367722718
The time out time is 34.660651 , Current time: 1367722718
The time out time is 31.461999 , Current time: 1367722718
The time out time is 24.433854 , Current time: 1367722718
The time out time is 37.054508 , Current time: 1367722718
The time out time is 33.975633 , Current time: 1367722718
The time out time is 46.739159 , Current time: 1367722718
The time out time is 38.121696 , Current time: 1367722718
The time out time is 68.491287 , Current time: 1367722718
The time out time is 55.305430 , Current time: 1367722718
The time out time is 56.224183 , Current time: 1367722718
The time out time is 59.605774 , Current time: 1367722718
The time out time is 51.595160 , Current time: 1367722718
The time out time is 55.829254 , Current time: 1367722718
The time out time is 47.198622 , Current time: 1367722718
The time out time is 54.298569 , Current time: 1367722718
The time out time is 47.605756 , Current time: 1367722718
The time out time is 53.342828 , Current time: 1367722718
The time out time is 67.453381 , Current time: 1367722718
The time out time is 69.190554 , Current time: 1367722718
The time out time is 65.619790 , Current time: 1367722718
The time out time is 65.101466 , Current time: 1367722718
The time out time is 61.518681 , Current time: 1367722718
The time out time is 68.066335 , Current time: 1367722718
The time out time is 84.133667 , Current time: 1367722718
The time out time is 96.141802 , Current time: 1367722718
The time out time is 95.611499 , Current time: 1367722718
The time out time is 97.818631 , Current time: 1367722718
The time out time is 96.256627 , Current time: 1367722718
The time out time is 108.664403 , Current time: 1367722718
The time out time is 5368709.334882 , Current time: 1367722719
The time out time is 4831840.261068 , Current time: 1367722719
The time out time is 2264934.931185 , Current time: 1367722719
The time out time is 698358.341036 , Current time: 1367722719
The time out time is 191118.786289 , Current time: 1367722719
The time out time is 49861.252951 , Current time: 1367722719
The time out time is 12745.757785 , Current time: 1367722719
The time out time is 3241.995015 , Current time: 1367722719
The time out time is 832.318200 , Current time: 1367722719
The time out time is 222.963231 , Current time: 1367722719
The time out time is 94.882518 , Current time: 1367722719
The time out time is 51.269593 , Current time: 1367722719
The time out time is 47.542269 , Current time: 1367722719
The time out time is 51.882426 , Current time: 1367722719
The time out time is 116.470214 , Current time: 1367722719
The time out time is 93.336254 , Current time: 1367722719
The time out time is 78.986401 , Current time: 1367722719
The time out time is 68.109393 , Current time: 1367722719
The time out time is 56.760197 , Current time: 1367722719
The time out time is 64.000405 , Current time: 1367722719
The time out time is 47.257646 , Current time: 1367722719
The time out time is 23.534105 , Current time: 1367722719
The time out time is 18.754738 , Current time: 1367722719
The time out time is 28.547586 , Current time: 1367722719
The time out time is 19.306759 , Current time: 1367722719
The time out time is 37.785423 , Current time: 1367722719
The time out time is 175.347447 , Current time: 1367722719
The time out time is 146.386998 , Current time: 1367722719
The time out time is 423.040517 , Current time: 1367722719
The time out time is 391.221850 , Current time: 1367722719
The time out time is 392.113178 , Current time: 1367722719
The time out time is 454.973009 , Current time: 1367722719
The time out time is 447.923841 , Current time: 1367722719
The time out time is 473.878534 , Current time: 1367722719
The time out time is 479.269330 , Current time: 1367722719
The time out time is 471.011045 , Current time: 1367722719
The time out time is 492.058225 , Current time: 1367722719
The time out time is 500.177739 , Current time: 1367722719
The time out time is 430.971083 , Current time: 1367722719
The time out time is 318.764852 , Current time: 1367722719
The time out time is 5368748.912723 , Current time: 1367722720
The time out time is 2281745.630870 , Current time: 1367722720
The time out time is 687897.364303 , Current time: 1367722720
The time out time is 186699.116899 , Current time: 1367722720
The time out time is 48561.626203 , Current time: 1367722720
The time out time is 12431.231173 , Current time: 1367722720
The time out time is 3204.692121 , Current time: 1367722720
The time out time is 872.283571 , Current time: 1367722720
The time out time is 295.490960 , Current time: 1367722720
The time out time is 137.612749 , Current time: 1367722720
The time out time is 96.151938 , Current time: 1367722720
The time out time is 79.819078 , Current time: 1367722720
The time out time is 87.302406 , Current time: 1367722720
The time out time is 94.119056 , Current time: 1367722720
The time out time is 141.910196 , Current time: 1367722720
The time out time is 142.618853 , Current time: 1367722720
The time out time is 139.453626 , Current time: 1367722720
The time out time is 143.650771 , Current time: 1367722720
The time out time is 139.636113 , Current time: 1367722720
The time out time is 139.968206 , Current time: 1367722720
The time out time is 199.999449 , Current time: 1367722720
The time out time is 249.125787 , Current time: 1367722720
The time out time is 247.828437 , Current time: 1367722720
The time out time is 306.431733 , Current time: 1367722720
The time out time is 306.323511 , Current time: 1367722720
The time out time is 316.170325 , Current time: 1367722720
The time out time is 316.647512 , Current time: 1367722720
The time out time is 318.862494 , Current time: 1367722720
The time out time is 318.146951 , Current time: 1367722720
The time out time is 315.403154 , Current time: 1367722720
The time out time is 349.427840 , Current time: 1367722720
The time out time is 368.429092 , Current time: 1367722720
The time out time is 358.585039 , Current time: 1367722720
The time out time is 203.705981 , Current time: 1367722720
The time out time is 82.152710 , Current time: 1367722720
The time out time is 32.472704 , Current time: 1367722720
The time out time is 12.578742 , Current time: 1367722720
The time out time is 10.046006 , Current time: 1367722720
The time out time is 24.530417 , Current time: 1367722720
The time out time is 16.978719 , Current time: 1367722720
The time out time is 9.600444 , Current time: 1367722720
The time out time is 21.819582 , Current time: 1367722720
The time out time is 69.757329 , Current time: 1367722720
The time out time is 49.070887 , Current time: 1367722720
The time out time is 35.377916 , Current time: 1367722720
The time out time is 24.733253 , Current time: 1367722720
The time out time is 50.544410 , Current time: 1367722720
The time out time is 40.899990 , Current time: 1367722720
The time out time is 51.320483 , Current time: 1367722720
The time out time is 48.873307 , Current time: 1367722720
The time out time is 54.348725 , Current time: 1367722720
The time out time is 48.322231 , Current time: 1367722720
The time out time is 45.797439 , Current time: 1367722720
The time out time is 78.695220 , Current time: 1367722720
The time out time is 66.485787 , Current time: 1367722720
The time out time is 66.722945 , Current time: 1367722720
The time out time is 98.880923 , Current time: 1367722720
The time out time is 5368896.651504 , Current time: 1367722721
The time out time is 4832011.623035 , Current time: 1367722721
The time out time is 4462885.275779 , Current time: 1367722721
The time out time is 4341242.271447 , Current time: 1367722721
The time out time is 4307180.499425 , Current time: 1367722721
The time out time is 4298178.553802 , Current time: 1367722721
The time out time is 4295881.410819 , Current time: 1367722721
The time out time is 4295311.980501 , Current time: 1367722721
The time out time is 4295170.448600 , Current time: 1367722721
The time out time is 4295121.856334 , Current time: 1367722721
The time out time is 4295110.275857 , Current time: 1367722721
The time out time is 4295157.107936 , Current time: 1367722721
The time out time is 4295150.281855 , Current time: 1367722721
The time out time is 4295224.039823 , Current time: 1367722721
The time out time is 4295224.506126 , Current time: 1367722721
The time out time is 2147740.376053 , Current time: 1367722721
The time out time is 671386.937703 , Current time: 1367722721
The time out time is 184885.402387 , Current time: 1367722721
The time out time is 48584.371592 , Current time: 1367722721
The time out time is 12667.751772 , Current time: 1367722721
The time out time is 3288.676552 , Current time: 1367722721
The time out time is 851.261464 , Current time: 1367722721
The time out time is 223.358157 , Current time: 1367722721
The time out time is 69.094888 , Current time: 1367722721
The time out time is 76.211891 , Current time: 1367722721
The time out time is 40.045244 , Current time: 1367722721
The time out time is 33.166595 , Current time: 1367722721
The time out time is 28.248559 , Current time: 1367722721
The time out time is 50.775504 , Current time: 1367722721
The time out time is 47.376796 , Current time: 1367722721
The time out time is 108.992064 , Current time: 1367722721
The time out time is 85.422749 , Current time: 1367722721
The time out time is 79.877529 , Current time: 1367722721
The time out time is 84.597112 , Current time: 1367722721
The time out time is 90.258994 , Current time: 1367722721
The time out time is 346.172213 , Current time: 1367722721
The time out time is 273.400236 , Current time: 1367722721
The time out time is 254.644707 , Current time: 1367722721
The time out time is 250.573008 , Current time: 1367722721
The time out time is 263.788481 , Current time: 1367722721
The time out time is 295.277774 , Current time: 1367722721
The time out time is 308.392025 , Current time: 1367722721
The time out time is 308.232079 , Current time: 1367722721
The time out time is 5369030.043529 , Current time: 1367722722
The time out time is 4832169.821571 , Current time: 1367722722
The time out time is 4463057.244229 , Current time: 1367722722
The time out time is 4341433.659662 , Current time: 1367722722
The time out time is 4307375.364741 , Current time: 1367722722
The time out time is 4298403.241163 , Current time: 1367722722
The time out time is 4296124.141538 , Current time: 1367722722
The time out time is 4295545.514290 , Current time: 1367722722
The time out time is 4295406.782186 , Current time: 1367722722
The time out time is 4295373.339748 , Current time: 1367722722
The time out time is 4295369.446712 , Current time: 1367722722
The time out time is 4295337.594400 , Current time: 1367722722
The time out time is 4295313.552690 , Current time: 1367722722
The time out time is 4295302.657434 , Current time: 1367722722
The time out time is 2147662.448016 , Current time: 1367722722
The time out time is 671155.616211 , Current time: 1367722722
The time out time is 184582.342079 , Current time: 1367722722
The time out time is 48281.359023 , Current time: 1367722722
The time out time is 12408.155194 , Current time: 1367722722
The time out time is 3234.484478 , Current time: 1367722722
The time out time is 914.239330 , Current time: 1367722722
The time out time is 389.012109 , Current time: 1367722722
The time out time is 236.622062 , Current time: 1367722722
The time out time is 196.232895 , Current time: 1367722722
The time out time is 182.786646 , Current time: 1367722722
The time out time is 186.881464 , Current time: 1367722722
The time out time is 184.462216 , Current time: 1367722722
The time out time is 184.083285 , Current time: 1367722722
The time out time is 190.141788 , Current time: 1367722722
The time out time is 182.519318 , Current time: 1367722722
The time out time is 166.065313 , Current time: 1367722722
The time out time is 214.602014 , Current time: 1367722722
The time out time is 258.379964 , Current time: 1367722722
The time out time is 324.717424 , Current time: 1367722722
The time out time is 318.444660 , Current time: 1367722722
The time out time is 316.706828 , Current time: 1367722722
The time out time is 319.032415 , Current time: 1367722722
The time out time is 514.333817 , Current time: 1367722722
The time out time is 496.561668 , Current time: 1367722722
The time out time is 494.606444 , Current time: 1367722722
The time out time is 5369220.709864 , Current time: 1367722723
The time out time is 4832316.090998 , Current time: 1367722723
The time out time is 4463216.293191 , Current time: 1367722723
The time out time is 4341593.575853 , Current time: 1367722723
